阿斗当皇帝	软弱无能
阿斗的江山	白送
阿二（民间传说中的呆头呆脑、自作聪明的人）炒年糕	费力不讨好；费劲不落好
阿公吃黄连	苦也（爷）
阿拉伯数字8字分家	零比零（O：O）
阿奶抱孙子	老手
阿婆的鞋	老样子
阿婆留胡子	反常
阿庆嫂倒茶	滴水不漏
挨鞭子不挨棍子	吃软不吃硬
挨打的狗去咬鸡	拿别人出气
挨打的山鸡	顾头不顾尾
挨了巴掌赔不是	奴颜媚骨
挨了棒的狗	垂头丧气；气急败坏
挨了打的鸭子	乱窜
挨了刀的肥猪	不怕开水烫
挨了刀的皮球	瘪了
挨了霜的狗尾巴草	蔫了
挨着火炉吃海椒（辣椒）	里外发烧
矮夫矬（cuo 矮）妻	各有短处
矮梯子上高房	搭不上盲（檐）
矮子不吃馒头	想高（糕）
矮子踩高跷	取长补短
矮子穿长袍	拖拖拉拉
矮子穿木屐（mu ji木板拖鞋）	自高自大
矮子打呵欠	气儿不长
矮子打墙	只有一半
矮子放屁	低声下气
矮子跟着长子（身材高的人）走	多跑几步路
矮子过河	安（淹）心
矮子看戏	人云亦云
矮子里面拔将军	将就材料；短中取长
矮子面前说短话	惹人多
矮子爬坡	步步高升
矮子排队	倒数第一
矮子骑大马	上下两难；上下为难
矮子上楼梯	步步高升
矮子推掌	出手不高
矮子坐高凳	上下够不着，上下为难
爱吃香的有腊肠，爱吃甜的有蜜糖	对味
爱打半边鼓	旁敲侧击
爱叫的鸟	不做窝
安禄山起兵	反了
庵庙里的尼姑	没福（夫）
庵堂（尼姑庵）里的木鱼	任人敲打
岸边的青蛙	一触即跳
岸上看人溺水	见死不救
岸上捞月	白费功夫
按鸡头啄米	白费心机（比喻不能强迫人去做不愿做的事。）
按老方子吃药	还是老一套
按下葫芦起了瓢	顾了这头丢那头；此起彼落；此起彼伏；顾此失彼
按着葫芦挖籽	挖一个少一个
按着脑袋往火炕里钻	憋气窝火
按着牛头喝水	勉强不得
案板底下放风筝	飞不起来
案板顶门	管得宽
案板上的擀面杖	光棍一条
案板上的狗肉	上不了席
案板上的肉	任人宰割
案板上砍骨头	干干脆脆
案上砍骨头	干脆利索；干脆
暗地里耍拳	瞎打一阵
暗洞里裹脚	瞎缠
暗室里穿针	难过
暗锁加明锁	层层设防
暗滩上行船	危险性大
暗屋里穿针	难过
暗中使绊子	蔫（nian悄悄地；不声不响地）坏
肮脏他娘哭一夜	肮脏死啦
鏊子（ao zi烙饼的炊具。铁制圆形平底）里摊饼	不敢（擀）
鏊子上烙冰	化汤了
鏊子上烙饼	翻来覆去
八磅大锤钉钉子	稳扎稳打
八宝饭掺糨子（jiang zi糨糊）	糊涂到儿了
八宝饭里撒盐巴	又添一味
八十岁老太学吹打	上气不接下气
八十岁奶奶搽胭脂	老来俏
八尺沟滨（bang小河）六尺跳板	搭不上
八哥的嘴巴	随人说话；能说会道
八哥啄柿子	拣软的欺
八个麻雀抬轿	担当不起
八个钱算命	哪能包你
八股文的格式	千篇一律
八虎（《杨宋将》中杨继业的八个儿子）闯幽州	死的死，丢的丢（比喻损失太大。）
八里庄的萝卜	心里美
八亩地里一棵谷	就这一
八匹马拉不开	难分难解
八千岁留胡子	大主意个人拿
八十老太学吹打	上气不接下气
八十老翁吹喇叭	有气无力
八十岁比高低	老当益壮
八十岁吹喇叭	寿长气短
八十岁的阿婆	老掉牙了
八十岁公公耍猴子	老把戏
八十岁公公挑担子	心有余而力不足
八十岁考状元	人老心不老
八十岁老人进幼儿园	返老还童
八十岁老翁吹喇叭	有气无力
八十岁老翁学手艺	老来发奋
八十岁没儿女	老来孤单
八十岁跳舞	老天真
八十岁站柜台	老在行
