三伏天卖烂鱼	臭货 货臭
睡梦里逮鸟	空扑一场
老母鸡啄秕谷	上了当
飞机上摇橹	空划
赵匡胤送京娘	成人之美 御驾亲征
瞎娘抱着秃娃娃	人家不夸自家夸
黑瞎子吃告示	满肚子熊章程
脑门儿上戴眼镜	眼高
额角头碰着天花板	真高
刘姥姥进了大观园	什么都是有趣的
尿瘪子打酒	满不在壶 满不在乎
蜘蛛的腿	又干又瘦
拽着羊胡子过河	牵须 谦虚
天涩背稿件	越背越重
谷子地里的高粱	冒尖了 冒尖
书房里燃炮仗	乱放炮
哑巴做梦娶媳妇	美在心里
一笔画眉毛	只图眼前 只涂眼前
一手交钱一手交货	谁也不欠谁的
死鸭崽	嘴巴还挺硬
太平洋上里巡警	管里宽
公主手里的绣球	专打上眼的
踩着刀尖进虎口	步步危险
猪八戒头上插花	丑上加怪
口吞匕首	伤透心肝 伤心
绑到绳上的蚂蚁	由不得你
无耳茶褒	得把嘴
皮球裂了口	泄气了 泄气
孵豆芽	憋屈够了
街头演出	没后台
罐里弄王八	越养越娇
对着棺材撤尿	欺侮死人
大豹借猪	有去没回
墨蚊咬柱子	无痛痒
葫芦壳挂在颈上	自找麻烦
一炮换双士	代价不算低
蝼蛄啃秫秸	不是那路虫
大脚女人走路	迈不上小步子
踏扁了的蛤蟆	瘪了气啦
山崖上的葡萄	一提就是一大串
瞎闺女赶会	凑热闹 趁热闹
腰里别着死耗子	假充好猎手 冒充打猎的
剥皮的鱼儿	片甲不留
眼里阔瓜子	哪里开的口
马背上的高手	奇才 骑才
驼子掼一跤	两头勿着实
鸭子嘴里插棒槌	转不过脖来
小偷讲评书	贼能白话
蛇岛上寻宝	凶多吉少
猫不吃死耗子	假斯文 假意慈悲
正月看花灯	凑热闹
河里找匕首	唠叨 捞刀
小干买馒头	拣大搬
老哇子堪蚌壳	光听到嘴响
三个王八少两爪	失足
山岗看放荒	再不能扑灭了火
瞎爷爷过河	有步数
头顶袜子	不是脚
唱戏打水桶	算啥家伙
蚂蚁搬蛋往上爬	必涨洪水
小偷跑百米	贼快
寡妇捶肚子	自家有鬼自家知
坐坑沿打滑曲律	一溜下去
半天空里跑马	露了蹄脚
茅房里敲铴锣	臭美一铛铛
土地佬吃汤圆	神不愣神 神不能神
