龙肝麟脯	lóng gān lín fǔ
龌里龌龊	wò lǐ wò chuò
鼻坍嘴歪	bí tān zuǐ wāi
鸡蛋里挑骨头	jī dàn lǐ tiāo gǔ tóu
鸡肠鼠腹	jī cháng shǔ fù
鲜衣美馔	xiān yī měi zhuàn
鱼水之欢	yú shuǐ zhī huān
马无夜草不肥	mǎ wú yè cǎo bù féi
香闺绣户	xiāng guī xiù hù
风烛草霜	fēng zhú cǎo shuāng
颓垣破壁	tuí yuán pò bì
顺顺利利	shùn shùn lì lì
顺其自然	shùn qí zì rán
隔三岔五	gé sān chà wǔ
降妖除怪	xiáng yāo chú guài
陈腔滥调	chén qiāng làn diào
长江后浪催前浪	cháng jiāng hòu làng cuī qián làng
锥心刺骨	zhuī xīn cì gǔ
锅碗瓢盆	guō wǎn piáo pén
钻木得火	zuān mù dé huǒ
重色轻友	zhòng sè qīng yǒu
醋海生波	cù hǎi shēng bō
酒好不怕巷子深	jiǔ hǎo bù pà xiàng zǐ shēn
酒囊饭桶	jiǔ náng fàn tǒng
酒后吐真言	jiǔ hòu tǔ zhēn yán
逾规越矩	yú guī yuè jǔ
逢时过节	féng shí guò jié
这山望见那山高	zhè shān wàng jiàn nà shān gāo
转瞬即逝	zhuǎn shùn jí shì
走亲访友	zǒu qīn fǎng yǒu
谎话连篇	huǎng huà lián piān
谎言腿短	huǎng yán tuǐ duǎn
话不投缘	huà bù tóu yuán
诉诸武力	sù zhū wǔ lì
论今评古	lùn jīn píng gǔ
觅死寻活	mì sǐ xún huó
裂石停云	liè shí tíng yún
街言巷语	jiē yán xiàng yǔ
衔恨九原	xián hèn jiǔ yuán
蠢头呆脑	chǔn tóu dāi nǎo
莞尔一笑	wǎn ěr yī xiào
荐贤举能	jiàn xián jǔ néng
英年早逝	yīng nián zǎo shì
花容玉貌	huā róng yù mào
胡吃海塞	hú chī hǎi sāi
背主求荣	bèi zhǔ qiú róng
肥头大脸	féi tóu dà liǎn
聪明绝顶	cōng míng jué dǐng
聪慧绝伦	cōng huì jué lún
耀祖光宗	yào zǔ guāng zōng
羁旅之臣	jī lǚ zhī chén
缉拿归案	jī ná guī àn
纠缠不休	jiū chán bù xiū
简单明了	jiǎn dān míng liǎo
空拳赤手	kōng quán chì shǒu
究根诘底	jiū gēn jié dǐ
称心遂意	chèn xīn suí yì
神人共愤	shén rén gòng fèn
祝发披缁	zhù fà pī zī
磨洋工	mó yáng gōng
碎铜烂铁	suì tóng làn tiě
短斤少两	duǎn jīn shǎo liǎng
矫情饰伪	jiǎo qíng shì wěi
瞒在鼓里	mán zài gǔ lǐ
相夫教子	xiàng fū jiào zǐ
盗贼蜂起	dào zéi fēng qǐ
百忙之中	bǎi máng zhī zhōng
百变不离其宗	bǎi biàn bù lí qí zōng
百不爽一	bǎi bù shuǎng yī
白费唇舌	bái fèi chún shé
白字连篇	bái zì lián piān
白吃白喝	bái chī bái hē
痛彻心髓	tòng chè xīn suǐ
畏强欺弱	wèi qiáng qī ruò
生辰八字	shēng chén bā zì
生于忧患，死于逸乐	shēng yú yōu huàn，sǐ yú yì lè
瑰宝奇珍	guī bǎo qí zhēn
玉骨仙姿	yù gǔ xiān zī
玉碎香埋	yù suì xiāng mái
狗屁不值	gǒu pì bù zhí
状元及第	zhuàng yuán jí dì
灿如繁星	càn rú fán xīng
火到猪头烂	huǒ dào zhū tóu làn
清仓盘库	qīng cāng pán kù
淫词浪语	yín cí làng yǔ
活学活用	huó xué huó yòng
洗尘接风	xǐ chén jiē fēng
洋漆马桶	yáng qī mǎ tǒng
残垣断壁	cán yuán duàn bì
死无葬地	sǐ wú zàng dì
死心坍地	sǐ xīn tān dì
正正当当	zhèng zhèng dāng dāng
止知其一，未知其二	zhǐ zhī qí yī，wèi zhī qí èr
欲擒先纵	yù qín xiān zòng
标本兼治	biāo běn jiān zhì
标奇立异	biāo qí lì yì
极奸巨恶	jí jiān jù è
束手受刃	shù shǒu shòu rèn
望空扑影	wàng kōng pū yǐng
有隙可趁	yǒu xì kě chèn
昙花泡影	tán huā pào yǐng
明来暗去	míng lái àn qù
时移境迁	shí yí jìng qiān
早朝晏退	zǎo cháo yàn tuì
施恩不望报	shī ēn bù wàng bào
断瓦颓垣	duàn wǎ tuí yuán
敛旗息鼓	liǎn qí xī gǔ
摈诸门外	bìn zhū mén wài
摈欲绝缘	bìn yù jué yuán
摈斥异己	bìn chì yì jǐ
接风掸尘	jiē fēng dǎn chén
掐指一算	qiā zhǐ yī suàn
掉文袋	diào wén dài
捞稻草	lāo dào cǎo
挨冻受饥	ái dòng shòu jī
挡风遮雨	dǎng fēng zhē yǔ
按甲束兵	àn jiǎ shù bīng
按兵不发	àn bīng bù fā
拿腔拿调	ná qiāng ná diào
拦路虎	lán lù hǔ
拦路抢劫	lán lù qiǎng jié
拙手钝脚	zhuō shǒu dùn jiǎo
拆烂污	cā làn wū
披霜带露	pī shuāng dài lù
抛头露脸	pāo tóu lù liǎn
抓耳揉腮	zhuā ěr róu sāi
把持不住	bǎ chí bù zhù
技高一筹	jì gāo yī chóu
技艺超群	jì yì chāo qún
扶弱锄强	fú ruò chú qiáng
执斧伐柯	zhí fǔ fá kē
扣屎盆子	kòu shǐ pén zǐ
托妻付子	tuō qī fù zǐ
扒耳抓腮	pá ěr zhuā sāi
手下败将	shǒu xià bài jiàng
懊悔不及	ào huǐ bù jí
憨头憨脑	hān tóu hān nǎo
惊喜参半	jīng xǐ cān bàn
惊叹不已	jīng tàn bù yǐ
悬梁自尽	xuán liáng zì jìn
思贤若渴	sī xián ruò kě
忧喜交并	yōu xǐ jiāo bìng
忠于职守	zhōng yú zhí shǒu
忍饥受冻	rěn jī shòu dòng
忌贤妒能	jì xián dù néng
心摇神荡	xīn yáo shén dàng
微服私访	wēi fú sī fǎng
循常袭故	xún cháng xí gù
徒费口舌	tú fèi kǒu shé
形于词色	xíng yú cí sè
当面献丑	dāng miàn xiàn chǒu
引亢高歌	yǐn kàng gāo gē
开怀痛饮	kāi huán tòng yǐn
开小差	kāi xiǎo chāi
座右铭	zuò yòu míng
年逾花甲	nián yú huā jiǎ
巨奸大憝	jù jiān dà duì
工工整整	gōng gōng zhěng zhěng
岁月不饶人	suì yuè bù ráo rén
屡战屡北	lǚ zhàn lǜ běi
居无定所	jū wú dìng suǒ
居安忘危	jū ān wàng wēi
尸骨未寒	shī gǔ wèi hán
尘埃落定	chén āi luò dìng
尊老爱幼	zūn lǎo ài yòu
寡女孤男	guǎ nǚ gū nán
完好无损	wán hǎo wú sǔn
孟浪从事	mèng làng cóng shì
始末根由	shǐ mò gēn yóu
始料不及	shǐ liào bù jí
如渴得浆	rú kě dé jiāng
好死不如赖活	hǎo sǐ bù rú lài huó
奶油小生	nǎi yóu xiǎo shēng
奢侈浪费	shē chǐ làng fèi
头脑膨胀	tóu nǎo péng zhàng
天良扫地	tiān liáng sǎo dì
大门不出，二门不迈	dà mén bù chū，èr mén bù mài
大门不出，二门不过	dà mén bù chū，èr mén bù guò
大快朵颐	dà kuài duǒ yí
外交辞令	wài jiāo cí lìng
坚信不疑	jiān xìn bù yí
坐食山崩	zuò shí shān bēng
喊杀连天	hǎn shā lián tiān
和和美美	hé hé měi měi
咂舌攒眉	zā shé cuán méi
吃香喝辣	chī xiāng hè là
号天搭地	háo tiān dā dì
号天啕地	háo tiān táo dì
可遇难求	kě yù nán qiú
可怜兮兮	kě lián xī xī
可喜可贺	kě xǐ kě hè
受骗上当	shòu piàn shàng dàng
压山倒海	yā shān dǎo hǎi
卖弄才学	mài nòng cái xué
半瓶醋	bàn píng cù
匿迹潜踪	nì jì qián zōng
勒马危崖	lè mǎ wēi yá
力软筋疲	lì ruǎn jīn pí
剿尽杀绝	jiǎo jìn shā jué
刻薄寡恩	kè bó guǎ ēn
刻不可缓	kè bù kě huǎn
击鼓传花	jī gǔ chuán huā
出头椽子	chū tóu chuán zǐ
出头无日	chū tóu wú rì
凄凄惨惨	qī qī cǎn cǎn
冷灶清锅	lěng zào qīng guō
养疥成疮	yǎng jiè chéng chuāng
六根不净	liù gēn bù jìng
八两半斤	bā liǎng bàn jīn
佳偶天成	jiā ǒu tiān chéng
低头不见抬头见	dī tóu bù jiàn tái tóu jiàn
优胜劣汰	yōu shèng liè tài
优礼相待	yōu lǐ xiāng dài
以泪洗面	yǐ lèi xǐ miàn
付诸丙丁	fù zhū bǐng dīng
于飞之愿	yú fēi zhī yuàn
买笑求欢	mǎi xiào qiú huān
习久性成	xí jiǔ xìng chéng
乐极灾生	lè jí zāi shēng
为人楷模	wéi rén kǎi mó
与生俱来	yù shēng jù lái
与时俱进	yǔ shí jù jìn
不辞辛苦	bù cí xīn kǔ
不辞辛劳	bù cí xīn láo
不见不散	bù jiàn bù sàn
不落痕迹	bù luò hén jì
不啻云泥	bù chì yún ní
一醉方休	yī zuì fāng xiū
一语不发	yī yǔ bù fā
一炮打响	yī pào dǎ xiǎng
一心二用	yī xīn èr yòng
山陬海筮	shān  zōu  hǎi  shì
做一日和尚撞一天钟	zuò  yī  rì  hé  shàng  zhuàng  yī  tiān  zhōng
坐地分脏	zuò  dì  fēn  zāng
作小服低	zuò  xiǎo  fú  dī
作奸犯罪	zuò  jiān  fàn  zuì
作辍无常	zuò  chuò  wú  cháng
佐雍得尝	zuǒ  yōng  dé  cháng
醉吐相茵	zuì  tǔ  xiāng  yīn
嘴直心快	zuǐ  zhí  xīn  kuài
嘴快舌长	zuǐ  kuài  shé  cháng
祖功宗德	zǔ  gōng  zōng  dé
走花溜冰	zǒu  huā  liū  bīng
宗师案临	zōng  shī  àn  lín
自相惊忧	zì  xiāng  jīng  rǎo
自始自终	zì  shǐ  zì  zhōng
自食其恶果	zì  shí  qí  è  guǒ
自刽以下	zì  kuài  yǐ  xià
自不待言	zì  bù  dài  yán
子孝父慈	zǐ  xiào  fù  cí
子夏悬鹑	zǐ  xià  xuán  chún
锱珠必较	zī  zhū  bì  jiào
姿意妄为	zī  yì  wàng  wéi
濯足濯缨	zhuó  zú  zhuó  yīng
着书立说	zhù  shū  lì  shuō
浞訾栗斯	zhuó  zī  lì  sī
斫琱为朴	zhuó  diāo  wéi  pǔ
捉贼捉脏	zhuō  zéi  zhuō  zāng
拙贝罗香	zhuō  bèi  luó  xiāng
谆谆诰诫	zhūn  zhūn  gào  jiè
椎锋陷陈	chuī  fēng  xiàn  chén
庄舄越吟	zhuāng  xì  yuè  yín
祝鮀之佞	zhù  tuó  zhī  nìng
祝僇祝鲠	zhù  lù  zhù  gěng
祝鲠祝饐	zhù  gěng  zhù  yì
祝鲠祝噎	zhù  gěng  zhù  yē
柱石之坚	zhù  shí  zhī  jiān
驻颜有术	zhù  yán  yǒu  shù
驻红却白	zhù  hóng  què  bái
麈尾之诲	zhǔ  wěi  zhī  huì
煮豆燃箕	zhǔ  dòu  rán  qí
逐逐眈眈	zhú  zhú  dān  dān
逐新趣异	zhú  xīn  qù  yì
逐句逐字	zhú  jù  zhú  zì
珠流璧转	zhū  liú  bì  zhuǎn
珠沉玉磒	zhū  chén  yù  zǐ
朱云折槛	zhū  yún  shé  jiàn
朱槃玉敦	zhū  pán  yù  duì
朱盘玉敦	zhū  pán  yù  duì
朱轓皁盖	zhū  fān  hǎi  gài
骤风急雨	zhòu  fēng  jí  yǔ
昼干夕惕	zhòu  gàn  xī  tì
周穷恤匮	zhōu  qióng  xù  kuì
诌上抑下	zhōu  shàng  yì  xià
舟车劳顿	zhōu  chē  láo  dùn
重岩迭嶂	zhòng  yán  dié  zhàng
重气狥名	zhòng  qì  xùn  míng
重气徇命	zhòng  qì  xùn  míng
重厚寡言	zhòng　hòu　guǎ　yán
重垣迭锁	chóng  yuán  dié  suǒ
重岩叠障	chóng  yán  dié  zhàng
重岩迭障	chóng  yán  dié  zhàng
重生爷娘	chóng  shēng  yé  niáng
重三迭四	chóng  sān  dié  sì
重峦迭嶂	chóng  luán  dié  zhàng
重峦迭巘	chóng  luán  dié  yǎn
重珪迭组	chóng  guī  dié  zǔ
重圭叠组	chóng  guī  dié  zǔ
重床迭屋	chóng  chuáng  dié  wū
重床迭架	chóng  chuáng  dié  jià
众心如城	zhòng  xīn  rú  chéng
众难群移	zhòng  nán  qún  yí
众目具瞻	zhòng  mù  jù  zhān
